# Russian Cup — authoritative row set, extracted 2026-08-01 from RSSSF rus2025.html + rus2026.html
# RPL-path groups + full knockout brackets (major/minor 2024-25; RPL/regions 2025-26)
# 90-minute scores only; group-stage pen-decided draws recorded as draws. comp=CUP.
# --- 2024-25 group stage (48) ---
2024-07-30,CUP,lokomotiv,rostov,1,0
2024-07-30,CUP,rubin,akron,4,0
2024-07-30,CUP,zenit,fakel,3,0
2024-07-31,CUP,spartak,dinamo-msk,3,0
2024-07-31,CUP,himki,orenburg,1,0
2024-07-31,CUP,akhmat,pari-nn,4,1
2024-07-31,CUP,krasnodar,cska,1,0
2024-08-01,CUP,dinamo-mkh,krylja,1,0
2024-08-13,CUP,orenburg,lokomotiv,2,3
2024-08-13,CUP,rostov,himki,3,1
2024-08-14,CUP,krylja,spartak,0,3
2024-08-14,CUP,dinamo-msk,dinamo-mkh,2,1
2024-08-14,CUP,cska,pari-nn,1,1
2024-08-14,CUP,rubin,zenit,0,1
2024-08-15,CUP,krasnodar,akhmat,1,0
2024-08-15,CUP,fakel,akron,1,2
2024-08-27,CUP,spartak,dinamo-mkh,0,1
2024-08-27,CUP,akhmat,cska,0,2
2024-08-27,CUP,akron,zenit,1,1
2024-08-27,CUP,fakel,rubin,0,2
2024-08-28,CUP,dinamo-msk,krylja,5,1
2024-08-28,CUP,lokomotiv,himki,4,0
2024-08-28,CUP,orenburg,rostov,0,1
2024-08-28,CUP,pari-nn,krasnodar,0,1
2024-09-17,CUP,zenit,rubin,2,0
2024-09-18,CUP,dinamo-mkh,dinamo-msk,2,2
2024-09-18,CUP,rostov,orenburg,3,1
2024-09-18,CUP,cska,krasnodar,2,0
2024-09-18,CUP,akron,fakel,2,0
2024-09-19,CUP,spartak,krylja,4,1
2024-09-19,CUP,himki,lokomotiv,1,5
2024-09-19,CUP,pari-nn,akhmat,1,2
2024-10-01,CUP,lokomotiv,orenburg,2,1
2024-10-01,CUP,pari-nn,cska,0,2
2024-10-01,CUP,rubin,fakel,0,1
2024-10-02,CUP,dinamo-msk,spartak,2,3
2024-10-02,CUP,krylja,dinamo-mkh,3,3
2024-10-02,CUP,himki,rostov,2,2
2024-10-02,CUP,akhmat,krasnodar,3,0
2024-10-02,CUP,zenit,akron,5,1
2024-10-22,CUP,dinamo-mkh,spartak,0,1
2024-10-22,CUP,cska,akhmat,1,0
2024-10-22,CUP,fakel,zenit,0,1
2024-10-23,CUP,rostov,lokomotiv,2,2
