Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Russia,Premier League,2023/2024,21/07/2023,17:00,Dynamo Moscow,Krasnodar,1,3,A,2.09,3.84,3.38,2.31,3.95,3.5,2.15,3.73,3.18
Russia,Premier League,2023/2024,22/07/2023,11:00,Ural,CSKA Moscow,2,1,H,3.99,3.1,2.17,4.1,3.31,2.24,3.93,3.14,2.1
Russia,Premier League,2023/2024,22/07/2023,13:15,Pari NN,Zenit,0,2,A,5.43,3.77,1.7,5.65,3.86,1.76,5.2,3.7,1.7
Russia,Premier League,2023/2024,22/07/2023,15:30,Lokomotiv Moscow,Rubin Kazan,2,2,D,1.83,3.87,4.37,1.83,4.17,4.74,1.76,3.89,4.39
Russia,Premier League,2023/2024,22/07/2023,18:00,Akhmat Grozny,Krylya Sovetov,1,2,A,2.21,3.43,3.45,2.25,3.65,3.47,2.19,3.37,3.37
Russia,Premier League,2023/2024,23/07/2023,15:30,Spartak Moscow,Orenburg,3,2,H,1.61,4.66,4.95,1.65,4.84,5.52,1.57,4.61,5
Russia,Premier League,2023/2024,23/07/2023,18:00,FK Rostov,Fakel Voronezh,2,1,H,2.21,3.08,3.89,2.22,3.54,4.1,2.12,3.1,3.89
Russia,Premier League,2023/2024,23/07/2023,18:00,Sochi,Baltika,2,0,H,2.12,3.34,3.79,2.12,3.9,4.12,2.05,3.39,3.73
Russia,Premier League,2023/2024,29/07/2023,13:00,Krylya Sovetov,Dynamo Moscow,3,3,D,2.52,3.48,2.87,2.72,3.67,2.87,2.59,3.42,2.67
Russia,Premier League,2023/2024,29/07/2023,15:30,Ural,Pari NN,0,0,D,2,3.15,4.63,2.08,3.34,4.63,1.96,3.18,4.37
Russia,Premier League,2023/2024,29/07/2023,18:00,FK Rostov,Zenit,1,1,D,4.12,3.37,2.02,5.3,3.84,2.15,4.05,3.42,1.99
Russia,Premier League,2023/2024,30/07/2023,13:00,Rubin Kazan,Orenburg,1,1,D,2.09,3.77,3.44,2.18,3.85,3.45,2.09,3.66,3.29
Russia,Premier League,2023/2024,30/07/2023,15:30,Fakel Voronezh,Lokomotiv Moscow,1,4,A,2.7,3.46,2.67,2.93,3.65,2.75,2.77,3.37,2.54
Russia,Premier League,2023/2024,30/07/2023,18:00,Akhmat Grozny,CSKA Moscow,2,3,A,3.37,3.27,2.32,3.65,3.39,2.36,3.4,3.24,2.22
Russia,Premier League,2023/2024,30/07/2023,18:00,Krasnodar,Sochi,2,0,H,1.86,3.67,4.43,1.89,3.92,4.8,1.78,3.74,4.42
Russia,Premier League,2023/2024,31/07/2023,17:30,Spartak Moscow,Baltika,2,1,H,1.52,4.62,6.12,1.55,5.2,7.3,1.47,4.69,6.4
Russia,Premier League,2023/2024,04/08/2023,18:00,Krasnodar,Pari NN,1,0,H,1.49,4.31,7.51,1.57,4.38,7.8,1.51,4.09,6.77
Russia,Premier League,2023/2024,05/08/2023,13:00,Krylya Sovetov,FK Rostov,5,1,H,2.23,3.41,3.42,2.32,3.52,3.53,2.21,3.38,3.29
Russia,Premier League,2023/2024,05/08/2023,15:30,Orenburg,Ural,0,2,A,2.28,3.67,3.1,2.3,3.77,3.17,2.25,3.57,3.02
Russia,Premier League,2023/2024,05/08/2023,15:30,Rubin Kazan,Spartak Moscow,1,4,A,3.5,3.77,2.07,3.62,3.9,2.2,3.36,3.67,2.09
Russia,Premier League,2023/2024,05/08/2023,18:00,CSKA Moscow,Lokomotiv Moscow,4,1,H,1.77,4.1,4.4,1.88,4.15,4.4,1.78,4.03,4.18
Russia,Premier League,2023/2024,06/08/2023,15:30,Baltika,Fakel Voronezh,2,1,H,2.03,3.44,4,2.08,3.48,4.25,1.99,3.34,3.96
Russia,Premier League,2023/2024,06/08/2023,17:00,Zenit,Dynamo Moscow,2,3,A,1.93,3.8,3.94,1.95,4.27,4.6,1.78,4,4.17
Russia,Premier League,2023/2024,06/08/2023,18:00,Sochi,Akhmat Grozny,1,2,A,2.17,3.59,3.4,2.24,3.59,3.55,2.13,3.48,3.37
Russia,Premier League,2023/2024,11/08/2023,16:00,Ural,Spartak Moscow,3,2,H,3.4,3.32,2.28,3.48,3.41,2.4,3.15,3.3,2.32
Russia,Premier League,2023/2024,12/08/2023,13:00,Lokomotiv Moscow,Krylya Sovetov,1,1,D,1.77,4.22,4.28,1.84,4.26,4.3,1.77,4.07,4.07
Russia,Premier League,2023/2024,12/08/2023,15:30,Orenburg,Krasnodar,0,2,A,3.6,3.96,1.98,3.7,4.04,2.15,3.37,3.82,2.02
Russia,Premier League,2023/2024,12/08/2023,18:00,FK Rostov,Rubin Kazan,3,0,H,1.91,3.59,4.3,1.95,3.68,4.42,1.88,3.49,4.25
Russia,Premier League,2023/2024,13/08/2023,13:00,Dynamo Moscow,Baltika,2,0,H,2.07,3.66,3.59,2.14,3.86,3.69,2.02,3.69,3.48
Russia,Premier League,2023/2024,13/08/2023,15:30,Zenit,Fakel Voronezh,2,0,H,1.4,4.96,8.28,1.41,5.35,9.4,1.38,4.83,8.19
Russia,Premier League,2023/2024,13/08/2023,18:00,CSKA Moscow,Sochi,3,1,H,1.75,3.89,4.85,1.8,4.1,5.35,1.73,3.81,4.8
Russia,Premier League,2023/2024,14/08/2023,17:30,Pari NN,Akhmat Grozny,1,0,H,2.73,2.96,3.04,2.85,3.1,3.04,2.7,2.93,2.92
Russia,Premier League,2023/2024,18/08/2023,17:30,Rubin Kazan,Krylya Sovetov,2,1,H,2.92,3.25,2.62,3.08,3.52,2.62,2.84,3.29,2.52
Russia,Premier League,2023/2024,19/08/2023,13:00,Dynamo Moscow,CSKA Moscow,2,1,H,2.78,3.63,2.51,2.83,3.89,2.52,2.74,3.61,2.43
Russia,Premier League,2023/2024,19/08/2023,15:30,Baltika,Ural,0,1,A,2.68,3.06,3.01,2.68,3.23,3.28,2.5,3.08,3.06
Russia,Premier League,2023/2024,19/08/2023,17:30,Krasnodar,Lokomotiv Moscow,1,1,D,1.87,3.9,4.11,1.88,4.1,4.27,1.83,3.85,4.01
Russia,Premier League,2023/2024,19/08/2023,18:00,Sochi,FK Rostov,4,0,H,2.29,3.32,3.4,2.33,3.48,3.45,2.25,3.26,3.3
Russia,Premier League,2023/2024,20/08/2023,15:30,Fakel Voronezh,Pari NN,2,0,H,2.5,2.83,3.56,2.52,3.07,3.62,2.44,2.8,3.47
Russia,Premier League,2023/2024,20/08/2023,17:30,Spartak Moscow,Zenit,1,3,A,2.83,3.42,2.59,2.92,3.56,2.64,2.76,3.41,2.55
Russia,Premier League,2023/2024,20/08/2023,18:00,Akhmat Grozny,Orenburg,4,0,H,1.91,3.85,3.97,1.95,4.08,3.97,1.9,3.8,3.79
Russia,Premier League,2023/2024,25/08/2023,15:30,Orenburg,CSKA Moscow,1,1,D,3.51,3.86,2.04,4.4,4.27,2.06,3.93,3.91,1.86
Russia,Premier League,2023/2024,25/08/2023,18:00,Fakel Voronezh,Krasnodar,0,0,D,3.43,3.29,2.28,4.1,3.52,2.34,3.63,3.31,2.12
Russia,Premier League,2023/2024,26/08/2023,13:00,Zenit,Ural,4,0,H,1.54,4.25,6.56,1.57,4.38,6.61,1.53,4.15,6.36
Russia,Premier League,2023/2024,26/08/2023,15:30,Rubin Kazan,Dynamo Moscow,2,2,D,3.39,3.67,2.14,3.4,3.84,2.21,3.23,3.63,2.14
Russia,Premier League,2023/2024,26/08/2023,17:30,Spartak Moscow,Akhmat Grozny,0,0,D,1.65,4.49,4.77,1.72,4.49,5,1.66,4.28,4.6
Russia,Premier League,2023/2024,26/08/2023,18:00,Pari NN,FK Rostov,1,0,H,2.88,3.04,2.8,2.91,3.21,2.8,2.81,3,2.75
Russia,Premier League,2023/2024,27/08/2023,15:30,Krylya Sovetov,Baltika,2,1,H,2.33,3.25,3.38,2.34,3.42,3.39,2.28,3.25,3.25
Russia,Premier League,2023/2024,27/08/2023,18:00,Sochi,Lokomotiv Moscow,0,1,A,2.36,3.68,2.96,2.36,3.82,3.18,2.26,3.67,2.99
Russia,Premier League,2023/2024,02/09/2023,11:00,Ural,Akhmat Grozny,0,1,A,2.34,3.25,3.35,2.37,3.44,3.35,2.29,3.23,3.25
Russia,Premier League,2023/2024,02/09/2023,13:15,Pari NN,Rubin Kazan,2,1,H,2.4,3.09,3.42,2.45,3.33,3.54,2.32,3.09,3.36
Russia,Premier League,2023/2024,02/09/2023,15:30,Krylya Sovetov,Fakel Voronezh,3,0,H,1.88,3.52,4.56,1.89,3.65,4.74,1.84,3.45,4.51
Russia,Premier League,2023/2024,02/09/2023,18:00,Krasnodar,Spartak Moscow,2,0,H,2.16,3.83,3.23,2.29,3.91,3.3,2.2,3.72,3.04
Russia,Premier League,2023/2024,03/09/2023,11:00,Orenburg,Sochi,3,0,H,2.53,3.54,2.81,2.53,3.67,2.92,2.44,3.52,2.77
Russia,Premier League,2023/2024,03/09/2023,13:15,Lokomotiv Moscow,Baltika,3,2,H,2.17,3.79,3.24,2.2,3.9,3.69,2.12,3.75,3.32
Russia,Premier League,2023/2024,03/09/2023,15:30,CSKA Moscow,Zenit,1,1,D,2.75,3.18,2.82,3,3.4,2.82,2.8,3.19,2.65
Russia,Premier League,2023/2024,03/09/2023,18:00,FK Rostov,Dynamo Moscow,1,2,A,3.14,3.63,2.28,3.3,3.81,2.6,2.85,3.53,2.4
Russia,Premier League,2023/2024,15/09/2023,17:00,Dynamo Moscow,Pari NN,1,1,D,1.74,4,4.73,1.74,4.06,5.2,1.69,3.91,4.8
Russia,Premier League,2023/2024,16/09/2023,12:00,CSKA Moscow,Krylya Sovetov,2,2,D,1.75,3.91,4.77,1.8,4.02,4.8,1.74,3.86,4.52
Russia,Premier League,2023/2024,16/09/2023,14:30,Akhmat Grozny,Krasnodar,1,1,D,2.94,3.26,2.59,2.94,3.52,2.59,2.83,3.28,2.53
Russia,Premier League,2023/2024,16/09/2023,17:00,Spartak Moscow,Sochi,1,0,H,1.48,4.7,6.7,1.66,4.9,7.02,1.55,4.38,5.8
Russia,Premier League,2023/2024,16/09/2023,19:15,Baltika,FK Rostov,2,2,D,2.08,3.35,3.93,2.11,3.54,3.93,2.06,3.29,3.78
Russia,Premier League,2023/2024,17/09/2023,12:00,Ural,Fakel Voronezh,0,0,D,1.99,3.29,4.38,2.04,3.5,4.58,1.95,3.27,4.29
Russia,Premier League,2023/2024,17/09/2023,14:30,Rubin Kazan,Zenit,0,3,A,4.67,3.67,1.82,5.5,3.87,1.84,4.74,3.7,1.76
Russia,Premier League,2023/2024,17/09/2023,17:00,Lokomotiv Moscow,Orenburg,0,2,A,1.75,4.4,4.19,1.81,4.4,4.32,1.76,4.24,3.99
Russia,Premier League,2023/2024,23/09/2023,12:00,Krylya Sovetov,Sochi,2,1,H,2.03,3.59,3.8,2.04,3.82,4.45,1.92,3.6,3.94
Russia,Premier League,2023/2024,23/09/2023,14:30,Baltika,Akhmat Grozny,1,0,H,2.42,3.34,3.12,2.46,3.5,3.12,2.4,3.29,2.99
Russia,Premier League,2023/2024,23/09/2023,17:00,Spartak Moscow,Dynamo Moscow,1,0,H,2.24,4.08,2.92,2.35,4.2,3.1,2.24,3.98,2.86
Russia,Premier League,2023/2024,24/09/2023,12:00,Pari NN,Orenburg,3,1,H,2.94,3.32,2.56,2.94,3.41,2.76,2.74,3.27,2.61
Russia,Premier League,2023/2024,24/09/2023,14:30,Zenit,Lokomotiv Moscow,1,2,A,1.53,4.49,6.12,1.54,4.81,6.54,1.49,4.52,6.22
Russia,Premier League,2023/2024,24/09/2023,17:00,FK Rostov,CSKA Moscow,3,3,D,2.76,3.48,2.61,2.89,3.66,2.65,2.71,3.43,2.54
Russia,Premier League,2023/2024,24/09/2023,17:00,Krasnodar,Ural,2,0,H,1.64,4.07,5.52,1.69,4.08,5.8,1.64,3.92,5.32
Russia,Premier League,2023/2024,25/09/2023,17:00,Fakel Voronezh,Rubin Kazan,0,1,A,2.86,3.07,2.8,2.86,3.24,2.94,2.73,3.03,2.8
Russia,Premier League,2023/2024,29/09/2023,17:00,FK Rostov,Ural,2,2,D,2.13,3.31,3.8,2.25,3.51,3.8,2.15,3.26,3.54
Russia,Premier League,2023/2024,30/09/2023,10:00,Orenburg,Zenit,3,1,H,4.68,4.07,1.74,4.76,4.24,1.78,4.43,3.98,1.73
Russia,Premier League,2023/2024,30/09/2023,12:15,Lokomotiv Moscow,Pari NN,1,0,H,1.8,3.82,4.57,1.85,3.87,4.85,1.78,3.72,4.45
Russia,Premier League,2023/2024,30/09/2023,14:30,Rubin Kazan,Krasnodar,0,2,A,3.11,3.38,2.41,3.37,3.55,2.45,3.07,3.34,2.34
Russia,Premier League,2023/2024,30/09/2023,17:00,CSKA Moscow,Baltika,1,0,H,1.76,3.87,4.8,1.8,4.12,5.38,1.74,3.8,4.69
Russia,Premier League,2023/2024,01/10/2023,12:00,Fakel Voronezh,Sochi,2,0,H,2.65,3.04,3.07,2.8,3.1,3.07,2.65,2.98,2.93
Russia,Premier League,2023/2024,01/10/2023,14:30,Krylya Sovetov,Spartak Moscow,4,0,H,2.88,3.58,2.46,3.18,3.72,2.5,2.91,3.54,2.37
Russia,Premier League,2023/2024,01/10/2023,17:00,Akhmat Grozny,Dynamo Moscow,1,1,D,3.32,3.85,2.12,3.37,4.03,2.14,3.22,3.78,2.09
